account_id|campaign_id|creative_id|impressions_id|date|sum|count|mean
43516319528218688|320|33548|61292651|2017-04-01|75397.0|5|15079.4
43516319528218688|320|33548|69673535|2017-04-02|39047.0|5|7809.4
46468157396044643|320|33548|30950459|2017-04-01|76359.0|5|15271.8
46525408905760622|320|33548|739578501041|2017-04-01|73487.0|5|14697.4
46685837273718778|320|33548|255578189305|2017-04-02|0.0|1|0.0
48419212029804867|320|33548|35618521|2017-04-02|104169.0|5|20833.8
48419212029804867|320|33548|83271541|2017-04-01|47689.0|5|9537.8
48729673244143390|320|33548|473680542781|2017-04-02|75117.0|5|15023.4
48922022655248941|320|33548|64730358|2017-04-02|70423.0|5|14084.6
48922022655248941|320|33548|91508679|2017-04-01|76143.0|5|15228.6
50269266813524058|320|33548|11717553|2017-04-01|76464.0|5|15292.8
50269266813524058|320|33548|81951038|2017-04-01|76085.0|5|15217.0
51393751093650352|320|33548|89971379|2017-04-01|43545.0|5|8709.0
54676439473535119|320|33548|41798763|2017-04-02|37385.0|5|7477.0
54968497111581436|320|33548|779054895509|2017-04-01|74132.0|5|14826.4
57170924283678815|320|33548|8768415|2017-04-02|37582.0|5|7516.4
58866560835750446|320|33548|17745277|2017-04-02|78240.0|5|15648.0
58866560835750446|320|33548|72849198|2017-04-02|76995.0|5|15399.0
58866560835750446|320|33548|79295082|2017-04-02|77025.0|5|15405.0
58866560835750446|320|33548|83265866|2017-04-01|77332.0|5|15466.4
58869163315932600|320|33548|322735359054|2017-04-01|65351.0|5|13070.2
59919246230016959|320|33548|326205787313|2017-04-01|37370.0|5|7474.0
60120075454129055|320|33548|215192621262|2017-04-01|74534.0|5|14906.8
61107002252414356|320|33548|907474155821|2017-04-01|76410.0|5|15282.0
61737553442132841|320|33548|18385735|2017-04-02|75447.0|5|15089.4
62244183470340165|320|33548|73218037|2017-04-01|41897.0|5|8379.4
63493566011917302|320|33548|9065296|2017-04-02|42821.0|5|8564.2
70788274748637525|320|33548|24893087|2017-04-01|221807.0|5|44361.4
71754366842244030|320|33548|1587225|2017-04-01|42247.0|5|8449.4
71836111475648132|320|33548|41496076|2017-04-01|67433.0|5|13486.6
73610999084835648|320|33548|562804213958|2017-04-01|78082.0|5|15616.4
73690625448405440|320|33548|45713721|2017-04-02|0.0|5|0.0
73984630025573750|320|33548|68779773|2017-04-02|36103.0|5|7220.6
73984630025573750|320|33548|77579064|2017-04-01|40078.0|5|8015.6
75404549658114463|320|33548|738322501076|2017-04-01|34738.0|3|11579.3333333
75563036134437988|320|33548|26260648|2017-04-02|41352.0|5|8270.4
75563036134437988|320|33548|51323663|2017-04-01|47444.0|5|9488.8
77343320272138311|320|33548|34895492|2017-04-01|75407.0|5|15081.4
77523203853020761|320|33548|44953949|2017-04-02|37531.0|5|7506.2
77523203853020761|320|33548|60994591|2017-04-02|74863.0|5|14972.6
79762815242556960|320|33548|38120890|2017-04-02|77569.0|5|15513.8
80322537725231942|320|33548|7128341|2017-04-02|61146.0|4|15286.5
80322537725231942|320|33548|62492778|2017-04-02|45532.0|5|9106.4
80436271243327157|320|33548|12703986|2017-04-02|38487.0|5|7697.4
80436271243327157|320|33548|56342287|2017-04-02|76321.0|5|15264.2
80436271243327157|320|33548|74210324|2017-04-01|75918.0|5|15183.6
80473768580440818|320|33548|2169469|2017-04-01|48075.0|5|9615.0
80473768580440818|320|33548|11851261|2017-04-01|38116.0|5|7623.2
80473768580440818|320|33548|61029921|2017-04-01|80787.0|5|16157.4
